fn_id,host_submit_reduce,init_fn_reduce,post_download_reduce,pre_upload_reduce,end_fn_reduce,finished
0,1714053935461,1714053940890,1714053956041,1714053967306,1714053975708,1714054008528
1,1714053935461,1714053941904,1714053957245,1714053965071,1714053972627,1714054008528
2,1714053935461,1714053942091,1714053958310,1714053971079,1714053979607,1714054008528
3,1714053935461,1714053941060,1714053954891,1714053961892,1714053967646,1714054008528
4,1714053935461,1714053941672,1714053956941,1714053967646,1714053979969,1714054008528
5,1714053935461,1714053939920,1714053954222,1714053964985,1714053976046,1714054008528
6,1714053935461,1714053940150,1714053953635,1714053962241,1714053969802,1714054008528
7,1714053935461,1714053943135,1714053960095,1714053969420,1714053980870,1714054008528
8,1714053935461,1714053940938,1714053955011,1714053963327,1714053973267,1714054008528
9,1714053935461,1714053942164,1714053958004,1714053968305,1714053977512,1714054008528
10,1714053935461,1714053941168,1714053955585,1714053963887,1714053972641,1714054008528
11,1714053935461,1714053943327,1714053960253,1714053968858,1714053978028,1714054008528
12,1714053935461,1714053939883,1714053953492,1714053961555,1714053974586,1714054008528
13,1714053935461,1714053941289,1714053955866,1714053964591,1714053971754,1714054008528
14,1714053935461,1714053939606,1714053952885,1714053961157,1714053971136,1714054008528
15,1714053935461,1714053942343,1714053960549,1714053973593,1714053985489,1714054008528
16,1714053935461,1714053939559,1714053952957,1714053963339,1714053972159,1714054008528
17,1714053935461,1714053941407,1714053956602,1714053967741,1714053975869,1714054008528
18,1714053935461,1714053939374,1714053952530,1714053961480,1714053969627,1714054008528
19,1714053935461,1714053942806,1714053958836,1714053966973,1714053974896,1714054008528
20,1714053935461,1714053940760,1714053955217,1714053964026,1714053971502,1714054008528
21,1714053935461,1714053942935,1714053960953,1714053972833,1714053982269,1714054008528
22,1714053935461,1714053940547,1714053955034,1714053965675,1714053973393,1714054008528
23,1714053935461,1714053942542,1714053958290,1714053967512,1714053976294,1714054008528
24,1714053935461,1714053939244,1714053952360,1714053960913,1714053968073,1714054008528
25,1714053935461,1714053942195,1714053957689,1714053965181,1714053972250,1714054008528
26,1714053935461,1714053940549,1714053955572,1714053968594,1714053978215,1714054008528
27,1714053935461,1714053943014,1714053960729,1714053972765,1714053981052,1714054008528
28,1714053935461,1714053942653,1714053959319,1714053968571,1714053975307,1714054008528
29,1714053935461,1714053944135,1714053961681,1714053970866,1714053981331,1714054008528
30,1714053935461,1714053944551,1714053963340,1714053974693,1714053984453,1714054008528
31,1714053935461,1714053943934,1714053960993,1714053969373,1714053978054,1714054008528
32,1714053935461,1714053943541,1714053960460,1714053967702,1714053974335,1714054008528
33,1714053935461,1714053944417,1714053963028,1714053972219,1714053980615,1714054008528
34,1714053935461,1714053944027,1714053962237,1714053973354,1714053981217,1714054008528
35,1714053935461,1714053943857,1714053960882,1714053968725,1714053978918,1714054008528
36,1714053935461,1714053944666,1714053963933,1714053975842,1714053983357,1714054008528
37,1714053935461,1714053943647,1714053960678,1714053969203,1714053976725,1714054008528
38,1714053935461,1714053945420,1714053966337,1714053980979,1714053990046,1714054008528
39,1714053935461,1714053946042,1714053966120,1714053974319,1714053983501,1714054008528
40,1714053935461,1714053945870,1714053965934,1714053976667,1714053987186,1714054008528
41,1714053935461,1714053944829,1714053962274,1714053970394,1714053979981,1714054008528
42,1714053935461,1714053944925,1714053963774,1714053977359,1714053987147,1714054008528
43,1714053935461,1714053945248,1714053964503,1714053976287,1714053987092,1714054008528
